Thunder Big3,DurantKev@gmail.com,We are moving forward.      ,			On 11.1.2016| 5:00 PM
Thunder Big3,JHarden@gmail.com,I deserve the MVP this season! ,    		On 11.1.2015| 5:01 PM
Thunder Big3,RWestbrook@gmail.com,I will lead the team to Champion! ,  	On 11.1.2015| 5:02 PM
Thunder Big3,DurantKev@gmail.com,LOL. Hope to see u in western finals. ,  	On 11.1.2015| 5:03 PM
Game of Thrones,		EClarke@gmail.com, Do you guys see my dragons?      		    ,  On 11.3.2016| 9:00 AM
Game of Thrones,		PDinklage@gmail.com, They almost ate me last night…     		 ,     On 11.3.2016| 9:01 AM
Game of Thrones,		KHarin@gmail.com ,Didn’t see them… fought Ramsay last night…, On 11.3.2016| 9:02 AM
Game of Thrones,		Lheadey@yahoo.com, I got them. So disappointed they didn’t eat Tyrion… But it doesn’t 				matter|  I am the real queen now…           ,            	      On 11.3.2016| 9:03 AM
Game of Thrones,		PDinklage@gmail.com, All right… ,On 11.3.2016 9:04 AM
CEOs,		Timcook@gmail.com, There will be no discount on Macbook Pro!  ,	On 11.10.2016| 10:01 AM
CEOs,		JeffBezos@yahoo.com, C’mon man| it’s soon Black Friday…  	,	On 11.10.2016| 10:02 AM
CEOs,		Elonmusk@yahoo.com,I think Surface book is better!  ,			On 11.10.2016| 10:15 AM
CEOs,		JeffBezos@yahoo.com, [emoji] ,    	On 11.10.2016, 10:16 AM
